RK,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
360,Jaxson Hayes, C,NOR,47,13,0.551,0.699,0.1,2.8,0.7,0.4,0.4,0.7,5,9.9
361,Jarrell Brantley, PF,UTH,4,9.8,0.571,1,1,1.5,0.8,0,0.5,0.5,5.5,9.8
362,Bruno Fernando, PF,ATL,39,10.4,0.527,0.7,0,3.5,0.8,0.2,0.9,0.6,3.9,9.8
363,Jared Butler, SG,OKC,6,12.8,0.469,0,1.2,0.7,1.3,0.8,0,0.8,6.2,9.8
364,Gorgui Dieng, C,SAS,31,11.5,0.385,0.769,0.7,3.5,1.7,0.1,0.5,1,3.9,9.7
365,Justin Minaya, F,POR,4,22.3,0.304,0,0.8,3.8,1,0.5,1.3,1,4.3,9.7
366,Rudy Gay, SF,UTH,56,14.6,0.378,0.857,0.6,2.9,1,0.3,0.3,0.7,5.2,9.7
367,Derrick Jones Jr., SF,CHI,64,14,0.5,0.738,0.4,2.4,0.5,0.5,0.6,0.4,5,9.6
368,Zeke Nnaji, PF,DEN,53,13.7,0.561,0.645,0.3,2.6,0.3,0.3,0.4,0.6,5.2,9.6
369,Luke Kornet, C,BOS,69,11.7,0.665,0.821,0,2.9,0.8,0.2,0.7,0.4,3.8,9.6
370,Haywood Highsmith, F,MIA,54,17.9,0.431,0.464,0.7,3.5,0.8,0.7,0.3,0.8,4.4,9.6
371,Duncan Robinson, F,MIA,42,16.4,0.371,0.906,1.5,1.6,1.1,0.3,0,0.7,6.4,9.5
372,Patty Mills, PG,BKN,40,14.2,0.411,0.833,1.2,1.1,1.4,0.4,0.1,0.8,6.2,9.5
373,Evan Fournier, SG,NYK,27,17,0.337,0.857,1.3,1.8,1.3,0.6,0.1,0.8,6.1,9.5
374,Ousmane Dieng, F,OKC,39,14.6,0.42,0.652,0.7,2.7,1.2,0.4,0.2,0.7,4.9,9.5
375,Xavier Cooks, G,WAS,10,12.6,0.607,0.4,0,3.8,0.6,0.6,0.4,0.8,3.8,9.5
376,Payton Pritchard, PG,BOS,48,13.4,0.412,0.75,1.2,1.8,1.3,0.3,0,0.8,5.6,9.3
377,Sam Merrill, SG,CLE,5,11.8,0.409,1,1,1.8,1,0.8,0,0,5,9.3
378,Blake Wesley, G,SAS,37,18.1,0.321,0.591,0.5,2.2,2.7,0.7,0.1,1.8,5,9.3
379,McKinley Wright IV, PG,DAL,27,12.4,0.469,0.684,0.3,1.7,2.1,0.3,0.2,0.7,4.2,9.3
380,P.J. Tucker, PF,PHI,75,25.6,0.427,0.826,0.7,3.9,0.8,0.5,0.2,0.6,3.5,9.3
381,Johnny Davis, G,WAS,28,15.1,0.386,0.519,0.6,2.3,1,0.4,0.3,0.6,5.8,9.2
382,Ziaire Williams, F,MEM,37,15.2,0.429,0.773,0.7,2.1,0.9,0.4,0.2,1,5.7,9.2
383,Derrick Rose, PG,NYK,27,12.5,0.384,0.917,0.7,1.5,1.7,0.3,0.2,0.8,5.6,9.2
384,Usman Garuba, PF,HOU,75,12.9,0.486,0.617,0.3,4.1,0.9,0.6,0.4,0.6,3,9.2
385,Meyers Leonard, C,MIL,9,12.7,0.483,0.889,0.8,3.8,0.1,0.2,0,0.7,4.8,9.2
386,Austin Rivers, SG,MIN,52,19.5,0.435,0.769,0.8,1.6,1.4,0.5,0.1,0.4,4.9,9.2
387,Christian Braun, G,DEN,76,15.5,0.495,0.625,0.4,2.4,0.8,0.5,0.2,0.5,4.7,9.2
388,Brandon Boston Jr., SG,LAC,22,11.3,0.418,0.763,0.5,1.4,0.9,0.4,0,0.5,6.5,9.2
389,Josh Christopher, SG,HOU,64,12.3,0.465,0.75,0.3,1.1,1.1,0.5,0.2,0.9,5.8,9
390,Jarrett Culver, G,ATL,10,13.7,0.395,0.692,0.1,3.8,0.6,0.6,0.2,0.7,4.4,9
391,Olivier Sarr, C,OKC,9,12.7,0.5,0.714,0.1,3.4,0.4,0.1,0.6,0.4,4,9
392,Matisse Thybulle, SG,POR,71,16.9,0.435,0.679,0.8,2,0.7,1.2,0.5,0.3,4.1,9
393,Moses Brown, C,BKN,36,8.2,0.635,0.458,0,3.9,0.1,0.1,0.4,0.4,4.3,9
394,James Bouknight, SG,CHA,34,15.1,0.358,0.667,1,2.1,1.2,0.4,0.1,0.9,5.6,8.9
395,Simone Fontecchio, F,UTH,52,14.7,0.369,0.795,1.2,1.7,0.8,0.3,0.2,0.8,6.3,8.9
396,Lindy Waters III, F,OKC,41,13,0.393,0.8,1.4,1.8,0.7,0.3,0.3,0.2,5.2,8.9
397,Nikola Jovic, F,MIA,15,13.6,0.406,0.947,0.5,2.1,0.7,0.5,0.1,0.7,5.5,8.8
398,Kenneth Lofton Jr., F,MEM,24,7.3,0.527,0.593,0.3,2.1,0.8,0.2,0.1,0.5,5,8.8
399,Bryce McGowens, G,CHA,46,17.1,0.396,0.75,0.6,2,1.2,0.3,0.1,0.9,5.3,8.7
400,Udoka Azubuike, C,UTH,36,10,0.819,0.35,0,3.3,0.3,0.2,0.4,0.5,3.5,8.7
401,Danny Green, F,CLE,11,12.6,0.449,1,1.5,1.3,0.5,0.5,0.3,0.9,5.5,8.7
402,Ish Wainright, F,PHO,60,15.3,0.37,0.839,1,2.3,0.9,0.6,0.4,0.4,4.2,8.6
403,JaVale McGee, C,DAL,42,8.5,0.64,0.585,0,2.5,0.3,0.1,0.6,0.9,4.4,8.6
404,Omer Yurtseven, C,MIA,9,9.2,0.593,0.833,0.3,2.6,0.2,0.2,0.2,0.4,4.4,8.5
405,Christian Koloko, C,TOR,58,13.8,0.48,0.627,0,2.9,0.5,0.4,1,0.3,3.1,8.4
406,Damian Jones, C,UTH,41,11.6,0.64,0.759,0.2,3,0.4,0.2,0.5,0.6,3.5,8.3
407,Dalano Banton, PG,TOR,31,9,0.423,0.708,0.5,1.5,1.2,0.4,0.4,0.6,4.6,8.3
408,MarJon Beauchamp, F,MIL,52,13.5,0.395,0.73,0.9,2.2,0.7,0.4,0.1,0.9,5.1,8.3
